age,gender,race_minority,years_education,disability,disease,anios_en_calle,family_contact,recieves_help,drug_consumption,avg_age_drug_consumption,lgbt_minority,ln_years_street
44.0,1,0,7.0,1,0,14.916666666666666,1,0,0,0.0,0,2.7024791560527546
33.0,1,0,2.0,1,0,14.0,1,0,0,0.0,0,2.6390573296152584
41.0,1,0,15.0,1,0,3.0,1,0,0,0.0,0,1.0986122886681098
29.0,1,0,7.0,0,0,5.0,1,0,0,0.0,0,1.6094379124341003
30.0,1,0,11.0,0,0,14.0,1,0,0,0.0,0,2.6390573296152584
30.0,1,0,11.0,1,0,12.5,1,0,0,0.0,0,2.5257286443082556
42.0,1,0,7.0,1,0,10.0,0,0,0,0.0,0,2.302585092994046
44.0,1,0,11.0,1,0,7.0,0,0,0,0.0,0,1.9459101490553132
50.0,1,0,7.0,0,1,2.0,1,1,1,15.0,0,0.6931471805599453
37.0,1,0,13.0,0,0,7.0,0,0,0,0.0,0,1.9459101490553132
48.0,0,0,2.0,1,1,4.0,1,1,0,0.0,0,1.3862943611198906
25.0,1,0,7.0,1,0,1.6666666666666667,1,0,0,0.0,0,0.5108256237659907
59.0,1,0,2.0,1,0,4.0,0,1,0,0.0,0,1.3862943611198906
31.0,1,0,7.0,1,0,0.25,1,0,0,0.0,0,-1.3862943611198906
22.0,1,0,11.0,0,0,0.6666666666666666,1,0,0,0.0,0,-0.40546510810816444
39.0,1,0,7.0,1,0,12.0,1,0,0,0.0,0,2.4849066497880004
33.0,1,0,7.0,0,0,14.0,1,0,0,0.0,0,2.6390573296152584
21.0,0,0,2.0,1,0,1.0,1,0,1,15.5,0,0.0
24.0,1,0,2.0,1,0,2.0833333333333335,1,0,1,15.0,0,0.7339691750802005
25.0,0,0,13.0,1,0,11.0,1,0,0,0.0,0,2.3978952727983707
28.0,1,0,2.0,0,0,7.0,1,0,1,16.0,0,1.9459101490553132
17.0,1,0,13.0,1,0,7.0,0,0,1,15.0,0,1.9459101490553132
16.0,1,1,13.0,0,0,4.0,1,0,1,15.0,0,1.3862943611198906
26.0,1,0,7.0,0,0,3.0,1,0,0,0.0,0,1.0986122886681098
22.0,1,0,13.0,0,0,1.0,1,0,0,0.0,0,0.0
19.0,0,0,11.0,0,0,7.0,1,0,1,15.25,0,1.9459101490553132
52.0,1,0,13.0,0,0,2.0,1,0,0,0.0,0,0.6931471805599453
28.0,1,0,11.0,0,0,0.75,1,0,0,0.0,0,-0.2876820724517809
20.0,0,0,11.0,0,0,2.0,1,0,1,17.25,0,0.6931471805599453
22.0,1,0,13.0,0,0,6.0,1,0,0,0.0,0,1.791759469228055
